Supplier,Date,Amount,Description
Adobe Systems,2026-03-01,54.57,Creative Cloud (March subscription)
Google,2026-03-03,12.00,Workspace Business Starter (March)
Figma,2026-03-04,15.00,Pro plan (March subscription)
Amazon UK,2026-03-05,28.47,USB-C hub + cable
Premier Inn Manchester,2026-03-07,89.00,"Hotel (1 night, client visit)"
Paperchase,2026-03-10,18.50,Notebooks + pens
BT,2026-03-11,52.99,Broadband (March)
Zoom,2026-03-12,13.99,Pro licence (March)
Deliveroo,2026-03-16,22.15,Lunch (working through Sat deadline)
Costa Coffee,2026-03-18,3.95,Afternoon coffee
ICO,2026-03-25,40.00,Data protection fee (annual)
Adobe Stock,2026-03-27,29.99,Single image credit pack
Costa Coffee,2026-03-28,4.85,Coffee (working from cafe)
Whittard,2026-03-29,12.00,Coffee beans (studio stock)
HMRC,2026-03-31,125.00,Payment on account
